iter	Passed	Remaining
399	75431	75431
400	75619	75241
401	75812	75058
402	75996	74864
403	76203	74694
404	76386	74500
405	76536	74274
406	76703	74065
407	76915	73899
408	77084	73692
409	77268	73498
410	77467	73320
411	77663	73139
412	77869	72967
413	78063	72783
414	78237	72581
415	78436	72403
416	78618	72208
417	78830	72041
418	78989	71826
419	79131	71595
420	79315	71403
421	79455	71171
422	79583	70929
423	79736	70709
424	79874	70477
425	80100	70323
426	80286	70133
427	80472	69943
428	80650	69746
429	80845	69564
430	81033	69376
431	81173	69147
432	81355	68955
433	81549	68772
434	81679	68535
435	81832	68319
436	82041	68149
437	82229	67961
438	82381	67744
439	82544	67536
440	82694	67318
441	82898	67143
442	83072	66945
443	83244	66745
444	83413	66543
445	83577	66336
446	83726	66119
447	83931	65946
448	84120	65760
449	84347	65603
450	84493	65384
451	84685	65200
452	84915	65045
453	85065	64829
454	85245	64637
455	85410	64432
456	85552	64211
457	85768	64045
458	85972	63870
459	86150	63676
460	86326	63481
461	86507	63288
462	86662	63078
463	86878	62912
464	87051	62714
465	87232	62523
466	87452	62359
467	87629	62164
468	87818	61978
469	87971	61767
470	88128	61559
471	88252	61328
472	88444	61144
473	88605	60939
474	88782	60746
475	88977	60564
476	89098	60332
477	89241	60116
478	89431	59932
479	89570	59713
480	89752	59523
481	89927	59329
482	90080	59121
483	90265	58933
484	90449	58745
485	90597	58534
486	90768	58337
487	90964	58157
488	91098	57937
489	91297	57759
490	91469	57564
491	91673	57388
492	91895	57224
493	92100	57050
494	92306	56875
495	92512	56701
496	92689	56509
497	92862	56313
498	93026	56113
499	93251	55951
500	93459	55777
501	93662	55600
502	93866	55424
503	94038	55228
504	94210	55034
505	94371	54832
506	94564	54649
507	94732	54452
508	94893	54251
509	95081	54065
510	95271	53881
511	95473	53703
512	95690	53534
513	95892	53356
514	96069	53164
515	96260	52980
516	96462	52802
517	96667	52626
518	96813	52417
519	96966	52212
520	97154	52027
521	97340	51840
522	97539	51660
523	97727	51474
524	97901	51281
525	98080	51091
526	98255	50899
527	98488	50736
528	98643	50534
529	98883	50374
530	99025	50165
531	99165	49955
532	99339	49762
533	99605	49616
534	99778	49423
535	99976	49242
536	100141	49044
537	100330	48859
538	100476	48653
539	100665	48468
540	100880	48295
541	101087	48118
542	101303	47946
543	101461	47746
544	101683	47576
545	101887	47398
546	102093	47220
547	102284	47035
548	102477	46852
549	102652	46660
550	102839	46473
551	103021	46285
552	103192	46091
553	103415	45921
554	103590	45729
555	103794	45549
556	104024	45382
557	104207	45194
558	104404	45011
559	104596	44827
560	104749	44625
561	104945	44442
562	105158	44267
563	105368	44090
564	105579	43913
565	105768	43727
566	105954	43540
567	106104	43338
568	106313	43160
569	106512	42978
570	106702	42793
571	106824	42580
572	106970	42377
573	107194	42205
574	107366	42013
575	107531	41817
576	107696	41622
577	107848	41422
578	108072	41250
579	108245	41058
580	108442	40876
581	108623	40687
582	108780	40489
583	108984	40309
584	109182	40126
585	109363	39938
586	109523	39741
587	109730	39562
588	109874	39360
589	110050	39170
590	110184	38965
591	110397	38788
592	110586	38602
593	110718	38397
594	110890	38206
595	111113	38032
596	111284	37840
597	111438	37643
598	111603	37449
599	111822	37274
600	112020	37091
601	112190	36899
602	112354	36706
603	112503	36507
604	112708	36327
605	112886	36138
606	113043	35942
607	113282	35773
608	113412	35569
609	113566	35373
610	113794	35199
611	113951	35004
612	114164	34826
613	114330	34634
614	114534	34453
615	114742	34273
616	114912	34082
617	115081	33891
618	115263	33703
619	115415	33507
620	115587	33317
621	115791	33136
622	116007	32958
623	116192	32772
624	116313	32567
625	116514	32385
626	116686	32195
627	116880	32011
628	117059	31823
629	117254	31640
630	117434	31452
631	117623	31267
632	117822	31084
633	117998	30895
634	118164	30704
635	118326	30511
636	118493	30320
637	118643	30125
638	118851	29945
639	119046	29761
640	119159	29557
641	119310	29362
642	119489	29175
643	119670	28988
644	119863	28804
645	120038	28616
646	120147	28412
647	120337	28227
648	120500	28036
649	120650	27842
650	120832	27655
651	120972	27459
652	121169	27277
653	121301	27079
654	121445	26884
655	121630	26699
656	121838	26518
657	122008	26330
658	122202	26146
659	122395	25962
660	122569	25774
661	122746	25587
662	122965	25409
663	123176	25229
664	123346	25040
665	123553	24859
666	123741	24674
667	123953	24493
668	124153	24311
669	124297	24117
670	124507	23936
671	124696	23751
672	124852	23560
673	125034	23374
674	125217	23188
675	125390	23000
676	125547	22809
677	125729	22623
678	125888	22433
679	126093	22251
680	126272	22065
681	126500	21887
682	126688	21702
683	126875	21516
684	127020	21324
685	127212	21140
686	127380	20951
687	127575	20768
688	127735	20578
689	127918	20392
690	128073	20202
691	128275	20019
692	128453	19833
693	128674	19653
694	128867	19469
695	129124	19294
696	129306	19108
697	129470	18919
698	129665	18735
699	129865	18552
700	130052	18366
701	130259	18184
702	130489	18004
703	130690	17821
704	130838	17630
705	131033	17446
706	131241	17263
707	131492	17086
708	131694	16903
709	131923	16722
710	132089	16534
711	132266	16347
712	132425	16158
713	132604	15971
714	132779	15784
715	132943	15596
716	133142	15412
717	133305	15224
718	133541	15044
719	133737	14859
720	133872	14668
721	134044	14481
722	134257	14298
723	134384	14106
724	134555	13919
725	134690	13728
726	134827	13538
727	134951	13346
728	135151	13162
729	135311	12975
730	135454	12785
731	135675	12603
732	135857	12418
733	136014	12230
734	136151	12040
735	136290	11851
736	136473	11665
737	136691	11483
738	136833	11294
739	136984	11106
740	137139	10919
741	137286	10731
742	137456	10545
743	137613	10358
744	137763	10170
745	137983	9988
746	138167	9803
747	138359	9618
748	138508	9431
749	138646	9243
750	138862	9060
751	139013	8873
752	139158	8685
753	139344	8501
754	139519	8315
755	139712	8131
756	139872	7945
757	140051	7760
758	140249	7576
759	140475	7393
760	140678	7209
761	140838	7023
762	141056	6840
763	141252	6655
764	141420	6470
765	141565	6283
766	141805	6101
767	142031	5917
768	142191	5732
769	142431	5549
770	142586	5363
771	142767	5178
772	142981	4994
773	143201	4810
774	143400	4625
775	143673	4443
776	143845	4257
777	143966	4071
778	144239	3888
779	144464	3704
780	144630	3518
781	144770	3332
782	144999	3148
783	145215	2963
784	145433	2778
785	145620	2593
786	145790	2408
787	146007	2223
788	146191	2038
789	146353	1852
790	146553	1667
791	146688	1481
792	146859	1296
793	147032	1111
794	147173	925
795	147385	740
796	147574	555
797	147764	370
798	147961	185
799	148174	0
